pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
have a discussion with	have dinner with	Picard have a discussion with Guinan	Picard have dinner with Guinan	3 6 3 3 5	38 47 42 18 19
pass	vote against	Georgia pass Saturday	Georgia vote against Saturday	6 2 1 2 2	47 0 2 21 37
be dedicated to work with	value our relationship with	Our team be dedicated to work with the patient	Our team value our relationship with the patient	3 4 5 4 3	39 34 38 47 5
be a country in	be bordered by	Zambia be a country in southern Africa	Zambia be bordered by southern Africa	3 1 1 1 3	39 34 47 38 5
love to play	need to play	Many people love to play basketball	Many people need to play basketball	3 5 3 5 3	38 42 18 19 10
decide to support	didnt vote for	voters decide to support the Democratic Party	voters didnt vote for the Democratic Party	1 2 2 5 4	41 22 21 37 49
be knowledgeable about	introduce	employees be knowledgeable about the products	employees introduce the products	3 4 3 1 5	0 1 2 3 4
hope in	find out in	The Association hope in the future	The Association find out in the future	6 3 3 2 5	16 22 21 37 49
have no name for	reprocess	the local Indians have no name for the mountain	the local Indians reprocess the mountain	2 2 3 2 5	42 21 37 20 49
be difficult for	be harder for	other foods be difficult for birds	other foods be harder for birds	6 6 6 6 2	30 1 33 52 4
describe	present an overview of	One of the authors describe the book	One of the authors present an overview of the book	3 5 5 6 6	38 18 19 20 10
link to	view	These icons link to social bookmarking sites	These icons view social bookmarking sites	5 6 1 5 3	26 27 28 17 29
respond to	ignore	The seller respond to the amount of money	The seller ignore the amount of money	2 3 1 1 3	39 26 34 47 38
be raised in	relocate to	Susan be raised in the city	Susan relocate to the city	3 1 2 1 1	5 13 14 7 15
have no name for	put word to	the local Indians have no name for the mountain	the local Indians put word to the mountain	2 1 1 3 2	39 34 47 38 5
do some research on	decide to buy	youe do some research on popcorn	youe decide to buy popcorn	3 2 2 6 3	14 11 50 9 48
be made in	be payable in	arrangements be made in advance	arrangements be payable in advance	5 3 5 3 3	14 50 9 8 48
make up	make up for	others make up fake ones	others make up for fake ones	6 1 7 6 5	30 31 1 3 33
have the time for	have no time for	him have the time for him	him have no time for him	1 2 1 1 1	58 11 50 8 9
submit via	be delivered by	Information submit via forms	Information be delivered by forms	5 6 6 6 6	41 51 2 22 21
specialize in	offer a wide variety of	Jared specialize in sales	Jared offer a wide variety of sales	5 4 5 2 5	5 40 12 11 9
sell	sell off	investors sell their holdings	investors sell off their holdings	1 7 6 6 2	47 41 42 21 37
feature	include	The kitchen feature many cabinets	The kitchen include many cabinets	5 5 6 5 6	39 5 7 20 8
enjoy listen to	love hear	others enjoy listen to the sounds	others love hear the sounds	6 5 2 6 5	51 1 3 23 4
choose one of	guide	The visitor choose one of the doors	the doors guide The visitor	1 2 2 2 5	16 14 17 10 25
announce	be pleased to announce	officials announce Thursday	officials be pleased to announce Thursday	3 5 5 5 5	38 42 18 19 10
run for	win the race for	CHEERS run for 11 seasons	CHEERS win the race for 11 seasons	4 4 4 4 5	51 1 22 3 4
have a proven record of	have a reputation for	Hypnosis have a proven record of success	Hypnosis have a reputation for success	1 6 6 6 5	30 31 3 32 33
answer a lot of	begin to answer	This movie answer a lot of those questions	This movie begin to answer those questions	6 5 4 4 5	47 41 2 22 49
be deferred until	be discussed at	Student loans be deferred until graduation	Student loans be discussed at graduation	2 5 3 3 5	14 11 50 9 48
become famous in	become well-known in	the town become famous in the 9th and 10th century	the town become well-known in the 9th and 10th century	6 6 5 5 6	43 44 6 35 13
be infected with	be positive for	my home computer be infected with a virus	my home computer be positive for a virus	5 5 1 4 4	39 5 43 12 48
experience	be affected by	men experience prostate problems	men be affected by prostate problems	5 6 5 6 7	6 7 11 8 9
arrive at	drive to	the children arrive at school	the children drive to school	1 3 2 3 4	47 41 51 21 22
head	be the ceo of	New York head the list	New York be the ceo of the list	5 5 1 1 6	51 31 37 32 10
punch	smash	Josiah punch him	Josiah smash him	1 5 1 4 3	34 28 35 29 36
attack	destroy	The disease attack bone marrow	The disease destroy bone marrow	3 5 5 5 6	38 42 21 18 19
explain to	smile at	a doctor explain to him	a doctor smile at him	2 1 2 2 1	0 16 2 22 20
need this type of	need a higher level of	equipment need this type of plug	equipment need a higher level of plug	3 3 2 3 3	38 42 18 19 20
be attracted to	be more attracted to	insects be attracted to a body	insects be more attracted to a body	5 4 6 5 5	39 40 12 7 20
be situated at	be placed at	a handle be situated at the bottom	a handle be placed at the bottom	6 6 5 6 5	16 17 10 24 25
resent	be appalled by	the Chinese resent British rule	the Chinese be appalled by British rule	5 6 6 6 5	5 14 11 50 48
be a source of	provide a source of	Italy be a source of creativity	Italy provide a source of creativity	5 6 6 6 5	14 11 50 8 48
play a leading role in	play an important role in	UNESCO play a leading role in adult education	UNESCO play an important role in adult education	5 6 6 6 3	39 57 34 47 38
be happy to assist	be available to speak with	Our staff be happy to assist applicants	Our staff be available to speak with applicants	6 6 6 5 4	34 27 29 36 45
fix	correct	the court fix the terms	the court correct the terms	6 6 2 6 5	30 31 3 32 33
want to thank	love to see	The couple want to thank their families and friends	The couple love to see their families and friends	1 6 1 2 2	34 28 35 29 36
have a love for	enjoy	My father have a love for education	My father enjoy education	6 6 5 6 5	30 31 3 32 33
be an excerpt from	be taken from	Table 1 be an excerpt from that report	Table 1 be taken from that report	6 5 6 6 6	47 41 51 2 22
be the site for	be host of	The annual conference be the site for the Annual General Meeting	The annual conference be host of the Annual General Meeting	1 7 4 6 3	30 1 3 33 52
walk for	sleep for	Men walk for two to three hours	Men sleep for two to three hours	2 2 6 1 1	39 5 43 44 12
display	block	The site display many photos	The site block many photos	1 2 1 1 1	58 11 50 8 9
lie to	say about	Jacob lie to his blind father	Jacob say about his blind father	3 4 2 3 2	40 44 14 24 25
be used on	be suitable for	This information be used on an article	This information be suitable for an article	5 3 5 5 3	5 40 12 14 7
be a valued member of	be another member of	April be a valued member of the team	April be another member of the team	6 4 4 3 4	16 17 10 24 25
worry about	need to worry about	Ladies worry about your hair	Ladies need to worry about your hair	3 5 5 5 4	38 42 18 19 20
collect	generate	Students collect clues	Students generate clues	3 3 2 5 2	5 14 11 9 48
want to see	get to see	All judges want to see him	All judges get to see him	5 1 3 2 4	34 27 29 36 45
postpone	cut back on	the couple postpone their wedding	the couple cut back on their wedding	3 3 3 2 3	14 11 50 9 48
purchase	pick up	others purchase the game	others pick up the game	3 6 6 6 2	39 43 44 12 15
be given to	be given for	user data be given to third parties	user data be given for third parties	5 5 2 7 6	6 7 11 8 9
be organised at	be subject to change at	Additional sessions be organised at Brussels	Additional sessions be subject to change at Brussels	1 1 1 1 2	34 28 35 29 36
learn from	care about	engineers learn from mistakes	engineers care about mistakes	6 6 4 2 4	34 27 29 36 45
agree to comply with	accept the term of	ACC agree to comply with the legislation	ACC accept the term of the legislation	5 5 1 6 3	39 5 43 12 48
win	be expected to win	their cards win the pot	their cards be expected to win the pot	3 1 5 5 5	38 16 42 18 19
be closed for	be closed on	school be closed for Veterans Day	school be closed on Veterans Day	6 6 6 7 7	6 7 50 8 9
feel the same way as	think the same thing as	Ada feel the same way as Inman	Ada think the same thing as Inman	3 1 5 5 3	38 16 17 18 19
be funded by	receive funding from	This project be funded by the European Union	This project receive funding from the European Union	1 6 6 6 5	34 27 29 23 45
pay attention to	laugh at	the public pay attention to the warning	the public laugh at the warning	3 6 2 5 1	38 47 18 19 20
want to shoot	need to shoot	Wild Bill want to shoot him	Wild Bill need to shoot him	5 3 2 4 4	41 0 51 2 4
check	do this for	The user check the date	The user do this for the date	6 3 1 2 4	47 38 16 18 10
arrive in	leave for	Our guests arrive in style	Our guests leave for style	2 2 2 1 1	5 13 14 15 25
be rare for	be impossible for	this series be rare for some reason	this series be impossible for some reason	3 5 2 1 1	13 6 24 15 25
be buried in	be buried inside	coins be buried in the ground	coins be buried inside the ground	3 6 6 6 6	38 17 18 19 10
sleep with	care for	Asa sleep with his fathers	Asa care for his fathers	1 1 1 1 6	0 2 1 52 4
travel to	grow up in	the team travel to Iowa City	the team grow up in Iowa City	6 5 1 1 2	27 28 35 29 46
be a small amount of	be the minimum amount of	A cookie be a small amount of data	A cookie be the minimum amount of data	1 6 4 4 6	47 16 42 18 49
be the capital of	be a city in	Hanoi be the capital of Vietnam	Hanoi be a city in Vietnam	3 3 1 5 2	39 5 43 12 48
dont live in	have relative in	Lionfish dont live in the Atlantic ocean	Lionfish have relative in the Atlantic ocean	1 5 1 1 2	34 28 35 29 36
be the supply of	be the mix of	The first be the supply of water	The first be the mix of water	3 1 5 1 5	0 30 33 52 4
be the accumulation of	prevent the formation of	His only goal be the accumulation of power	power prevent the formation of His only goal	2 2 4 2 2	5 7 10 11 8
be the victory of	become a symbol of	The result be the victory of fascism	The result become a symbol of fascism	3 4 6 4 2	38 41 16 42 37
be more common for	be unusual for	This side effect be more common for women	This side effect be unusual for women	6 1 1 2 1	16 31 37 10 32
be bored by	be bored with	men and women be bored by their jobs	men and women be bored with their jobs	5 6 6 6 6	34 27 35 29 46
dont talk about	be clueless about	Women dont talk about these things	Women be clueless about these things	3 2 2 3 4	6 7 50 8 9
thank	believe	Charisse thank him	Charisse believe him	3 6 1 2 5	38 47 16 18 19
emerge at	be written at	the new world order emerge at the end of the Cold War	the new world order be written at the end of the Cold War	6 4 6 2 5	47 22 32 52 4
have a beneficial effect on	be found to reduce	viruses have a beneficial effect on health	viruses be found to reduce health	6 1 6 1 1	47 2 32 23 52
influence	interfere with	the judge influence the outcome	the judge interfere with the outcome	6 5 5 1 4	30 31 3 32 33
want to be free from	begin to overwhelm	The colonists want to be free from England	England begin to overwhelm The colonists	6 6 1 2 2	26 27 28 17 29
be covered by	come with	vehicles be covered by auto insurance	vehicles come with auto insurance	5 2 5 5 6	41 51 22 20 49
reassemble	calibrate	Children reassemble the picture cards	Children calibrate the picture cards	6 6 3 5 4	43 44 35 13 45
have a crush on	look after	Mai have a crush on Andy	Mai look after Andy	3 3 1 3 3	39 5 43 12 6
live about	live like	Adults live about one week	Adults live like one week	6 3 5 6 5	47 38 42 21 49
be deployed	be configured	sets be deployed this way	sets be configured this way	6 6 5 4 4	40 12 14 11 9
open	narrow	Zander open the door	Zander narrow the door	1 2 2 2 1	7 11 50 8 9
explain	implement	the latter explain the situation	the latter implement the situation	1 1 2 2 4	34 27 36 56 45
be a good candidate for	want to consider	she/he be a good candidate for the award	she/he want to consider the award	3 6 3 2 5	38 47 42 18 19
be written in	be read in	the thread be written in November	the thread be read in November	6 1 2 2 3	34 27 36 56 45
be persecuted in	be refugee from	Christians be persecuted in this country	Christians be refugee from this country	2 3 4 4 6	0 22 21 52 4
do nothing at	matter at	Peter do nothing at the moment	Peter matter at the moment	1 2 2 2 6	41 0 51 20 4
answer a lot of	address most of	This movie answer a lot of those questions	This movie address most of those questions	6 5 5 6 6	16 17 19 48 25
be hijacked by	be infected by	The republic be hijacked by Forces	The republic be infected by Forces	1 1 3 4 4	43 44 35 13 45
open	begin	Registration open this month	Registration begin this month	6 6 6 2 5	51 1 2 3 4
set	raise	a lot of people set the bar	a lot of people raise the bar	4 4 2 5 3	30 1 3 33 52
be put off	take the fun out of	farmers be put off the land	farmers take the fun out of the land	2 2 2 2 2	0 41 51 22 37
